original	polished	Count
excusa  Johanne Winter	Winter, Johan	   2
tryckt af Joh. Kiämpe Kongl. Acad. boktr.	Kämpe, Johan	   2
tryckt hos Johan C. Frenckell	Frenckell, Johan Christopher II	   2
Abr. Hirsch		   2
Longman		   2
Karjalan kp.-o.y.		   2
tryckt hos ... Jacob Merckell		   2
af Iohan Winter	Winter, Johan	   2
Johan Winterildä	Winter, Johan	   2
[Wolmar Styrbjörn Schildt]		   2
excud. Joh. Kiampe, Reg. Acad. typogr.	Kämpe, Johan	   2
Omalla kustannuksella		   2
Edlundska Bokhandeln, jakaja		   2
Bergdahl		   2
Lith. F. Tilgmann		   2
[Wartiainen]		   2
[Hagelberg]		   2
impr. apud vid. Joh. Wall	Johan Wallin leski	   2
Lutherska evangeliföreningen i Finland		   2
excudebat Johannes Winter	Winter, Johan	   2
prändätty directeurildä ja cuningalliselda kirjan-präntäjäldä suuren-ruhtinanmaasa Suomesa, Jacob Merckellildä	Merckell, Jacob	   2
prändätty Georg Wilh. Londicerildä	Londicer, Georg Wilhelm	   2
Turun kansakoulujohtokunta		   2
[Satakunta bokhandeln]		   2
Centraltryckeriet		   2
Helios, distr.		   2
Alfthan :;Zilliacus		   2
G. W. Edlund, distr.		   2
U.W. Telén		   2
Toimittajat		   2
J. Länkelä		   2
impressit J. C. Frenckell	Frenckell, Johan Christopher I	   2
F. W. Unggren		   2
C. W. Alopaeus		   2
Pyhien Sergein ja Hermanin veljeyskunta		   2
Kansantaloudellinen yhdistys		   2
Minerva		   2
tryckt på Lars Salvii kostnad		   2
impr. â Johanne Wallio, A. t.	Wall, Johan Larsson	   2
Backman		   2
[A. W. Jahnsson]		   2
Savon työväen sanomalehti-osuuskunta		   2
Pyhän Sergein ja Hermanin veljeyskunta		   2
[Kongl. tryckeriet]	Fougt, Elsa	   2
impressa â Petro Hanson, Acad. typog.	Hansson, Peter	   2
excudebat J. G. Eberdt	Eberdt, Johan Georg	   2
Komitén för den inhemska industrins gynnande		   2
Befälhafvarestyrelsen		   2
Finska Fornminnesföreningen		   2
tryckt hos Joh. Christ. Frenckell	Frenckell, Johan Christopher II	   2
Pohjalaisen kirjapaino		   2
Suomen ev. lut. pyhäkouluyhdistys		   2
Lübcke & Hartmann		   2
E. E. Sundvall		   2
tryckt i kongl. tryckeriet	Fougt, Elsa	   2
tryckt af Iohan Winter	Winter, Johan	   2
Länsi-Suomi		   2
Helsingfors stad		   2
Teollisuushallitus		   2
Statens kommission för huslig ekonomi		   2
Kansan tahto		   2
tryckt hos Johan Christ. Frenckell	Frenckell, Johan Christopher I	   2
tryckt hos Joh. Chr. Frenckell	Frenckell, Johan Christopher II	   2
Oesterheld & C:o		   2
[Amund Laurentsson]	Laurentsson, Amund	   2
[författare]		   2
Missionsbokhandeln		   2
Edistysseurojen kustannusoy.		   2
tryckt Henr. C. Merckell, kongl. boktr. uthi stoor-furstendömet Finland	Merckell, Henric Christopher	   2
Aleks. Filander		   2
Karlsson :;Bergdahl		   2
Finsk kvinnoförening	Suomen naisyhdistys	   2
Fedotov'		   2
J. Klockars' bokhandel		   2
impressa â Petro Hansson, Acad. typog.	Hansson, Peter	   2
Keski-Suomen maanviljelysseura		   2
litteris Joh. Christoph. Frenckell & fil.	J. C. Frenckell ja poika	   2
Werkko		   2
Tieto		   2
excusa typ. Acad. apud viduam Petri Waldz	Peder Eriksson Waldin leski	   2
Universitetskaâ tipografìâ		   2
Simeliuksen perilliset		   2
Suomen tie- ja vesirakennusten ylihallituksen hydrografinen toimisto		   2
löyty myytäwänä Christian Trappin tygönä Turus, präntätty F. P. Paulssenildä	Henric Christopher Merckellin leski	   2
Anton Lindeberg		   2
[J. Wall]	Wall, Johan Larsson	   2
tryckt hos directeuren och Kongl. boktryckaren i stor-förstendömet Finland, Jacob Merckell	Merckell, Jacob	   2
Tekijät		   2
Karjalan kirjakauppa- ja kustannusliike		   2
Eriksson		   2
excud. Joh. Kiampe, Reg. Acad. typ.	Kämpe, Johan	   2
exc. apud Jo. Laurent. Wallium	Wall, Johan Larsson	   2
excus. apud viduam Hansonii	Peter Hanssons enckia	   2
[Åbo stads historiska museum]		   2
[Gosudarstvennaâ tipografìâ]	Suomen asiain erityinen neuvottelukunta	   2
[Henrik Christofer Merckell?]	Merckell, Henric Christopher	   2
Luth. evank.-yhdistys		   2
G.W. Edlund		   2
C. F. Berling		   2
[Viipurin suomalaisen kirjallisuuden seura]		   2
Macmillan		   2
Tampereen kp.		   2
G. W. Edlundin kustannus-oy		   2
impressa â Petro Wald, Acad. typogr.	Wald, Peder Eriksson	   2
[Tampereen kirjapaino-osakeyhtiö]		   2
Säätyjen kirjasto		   2
Lankinen		   2
Tietosanakirja		   2
Martta-yhdistys		   2
tryckt hos Carl Delén		   2
J. C. Frenckell		   2
[G. E. Asp]		   2
Lutherska evangeliföreningen		   2
Lilius ja Hertzberg		   2
Gubernskaâ tipografìâ		   2
