author_name	Count
Enckell, Karl.	  8
Jotuni, Maria	  8
Castrén, Jonas	  8
Svanljung, John.	  8
Lille, Axel.	  8
Sinclair, Upton.	  8
Öholm, Lars W.	  8
Appelgren-Kivalo, Hjalmar	  8
Sergelius, Max.	  8
Donner, Anders.	  8
Poirot, Jean.	  8
Hortling, Ivar.	  8
Sahlstén, P. A.	  8
Gadolin, G.	  8
Pallin, J. R.	  8
Waerland, Are.	  8
Nordenstreng, Sigurd.	  8
Niemi, Vihtori.	  8
Castrén, Gunnar.	  8
Slotte, Alex.	  8
Schulman, Hugo.	  8
Landtman, Gunnar	  8
Kohonen, A.	  8
Jaakkola, K.	  8
Wirén, Edvin.	  8
Valvanne, Väinö.	  8
Huhtala, Kyösti.	  8
Holberg, Ludvig	  8
Törnudd, Lilli.	  8
Suolahti, Gunnar.	  8
Hedin, Sven.	  8
Siljo, Juhani	  8
Ilmonen, S.	  8
Serlachius, Allan.	  8
Granström, Arthur.	  8
Hukkinen, Yrjö	  8
Saalasti, Filip.	  8
Sawela, Herman.	  8
Frenssen, Gustav.	  8
Holma, Harri	  8
Rauta, Hanna.	  8
Dreijer, Tord.	  8
Donner, Kai	  8
Partanen, L. W.	  8
Collins, Wilkie.	  8
Charpentier, Axel	  8
Heikinheimo, Olli	  8
Blomqvist, T. J.	  8
Mäkinen, Eero	  8
Berg, Henrik.	  8
Bang, Gustav.	  8
Müller, J. P.	  8
Autere, Oskari.	  8
Atra, Kaarlo.	  8
Gustafsson, C.	  8
Grotenfelt, Arvi.	  8
Amicis, Edmondo de.	  8
Alfthan, Axel	  8
Meinander, K. K.	  8
Aimonen, Anton	  8
Lie, Bernt.	  8
Liebknecht, Wilhelm.	  8
Elmgren, Rob.	  8
Lagus, Jonas	  8
Lagus, Aina	  8
Kolkkala, Väinö.	  8
Kropotkin, Pjotr.	  8
Kock, Johan	  8
Klaveness, Thv.	  8
Kivijärvi, Erkki	  8
Kivialho, K.	  8
Chesterton, G. K.	  8
Kihlgren, Edit.	  8
Kaarne, Antti.	  8
Brummer, O. J.	  8
Björkenheim, Edv.	  8
Arppe, N. J.	  8
Parmanen, Eino I.	  8
Lampén, Ernst	  8
Jokinen, Eeli	  8
Holmberg, Carl Emil.	  8
Serao, Matilde.	  8
Hermanson, Berta.	  8
Dahn, Felix.	  8
Friis, Jens Andreas.	  8
Kalm, Pehr	  8
Alcenius, Carolus Alexander.	  7
Pacius, Fredrik	  7
Lindeman, Berndt Adolf.	  7
Reuter, C.	  7
Grot, Jakov.	  7
Korevo, N. N.	  7
Schildt, Wolmar	  7
Hwasser, Israel	  7
Murman, Johan Wilhelm	  7
Åkerblom, J. F.	  7
Vergilius Maro, Publius.	  7
Langlet, Mathilda.	  7
Ploetz, Carl.	  7
Kielland, Alexander Lange.	  7
Weikkolin, Ida.	  7
Wuorinen, Johan.	  7
Stockmayer, Otto.	  7
Nathorst, Hjalmar Otto.	  7
Hougberg, Konrad Aleksis	  7
Brehm, Alfred.	  7
Warneck, Gustav Adolf.	  7
Saarelainen, K.	  7
Oppman, Romulus Magnus.	  7
Tawaststjerna, Werner.	  7
Forsman, Juho Rudolf.	  7
Bååth-Holmberg, Cecilia.	  7
Topelius, Toini.	  7
Wuolijoki, Sulo.	  7
Hall, Newman.	  7
Hedberg, John.	  7
Sonck, Emil.	  7
Blomqvist, A. G.	  7
Appelgren, Hjalmar.	  7
Renvall, Tancred T.	  7
