original		Count
[4] s., s. 17-32, [4] s.	24	   2
[I-II] III-XXIV, [1] 2-304 s.	327	   2
[10-?] s.	10	   2
[1-2] 3-55 [56] s. (s. [56] tyhjä)	56	   2
[32] s. (s. [2] tyhjä)	32	   2
[8], 124 s.	132	   2
8[-?] s.	8	   2
[26] s. (s. [2] tyhjä)	26	   2
120 s.	120	   2
94 s.	94	   2
NA	68	   2
[18], 505, [12], 538 s.	568	   2
[24], [1] 2-540, [12], [1] 2-468 s.	578	   2
[36], [1] 2-573, [574-588], [1] 2-336 s.	626	   2
[16] s. (s. [15-16] tyhjät)	16	   2
[9] s.	9	   2
[19] s.	19	   2
[6], 36 s.	42	   2
[12] s	12	   2
[118] s.	118	   2
[31] s.	31	   2
[35] s.	35	   2
[2], 18, [2] s.	22	   2
[4], [1] 2-24 [25-26] s.	31	   2
[4], [1] 2-27 [28] s.	59	   2
[4], [1] 2-51 [52] s.	107	   2
[8], [1] 2-30 [31-32] s.	41	   2
A8 B4. [24] s.	50	   2
[4] s. 2:o.	60	   2
[1-3] 4-46 [47-48] s. (s. [48] tyhjä)	48	   2
[1-3] 4-27 [28] s. (s. [28] tyhjä)	28	   2
[2], [1] 2-40 s.	42	   2
[1-3] 4-39 [40] s.	40	   2
[4], [1] 2-68 s.	72	   2
[78] s.	78	   2
[4], [1] 2-28 [29-32] s.	37	   2
[1-3] 4-26 [27-28] s.	28	   2
30, [2] s.	32	   2
[1-3] 4-126 [127-128] s.	128	   2
[2], [1] 2-101 [102] s.	205	   2
[1-3] 4-116 s.	116	   2
[2], [1]-22 s.	24	   2
[14] s. (s. [14] tyhjä)	14	   2
[1-2] 3-56 s.	56	   2
[1-3] 4-39 [40] s. (s. [40] tyhjä)	40	   2
[1-3] 4-35 [36] s. (s. [36] tyhjä)	36	   2
[1-5] 6-64 s.	64	   2
[2], 78 s.	80	   2
[2], 43, [1] s.	46	   2
[1-3] 4-9 [10] s. (s. [10] tyhjä)	10	   2
[2], [1] 2-61 [62] s. (s. [62] tyhjä)	187	   2
[1-3] 4-29 [30-32] s.	32	   2
[2], [1] 2-36 s.	38	   2
[4], [1] 2-115 [116] s. (s. [116] tyhjä)	351	   2
[1-3] 4-13 [14] s. (s. [14] tyhjä)	14	   2
42 s.	42	   2
[2], [1] 2-70 s.	72	   2
126 s.	126	   2
48, [4] s.	52	   2
[1-2] 3-80 s.	80	   2
[8] s. (s. [7-8] tyhjät)	8	   2
[8], 171, [1] s.	180	   2
[8], [1] 2-85 [86-88] s.	97	   2
[43], [1-2] 3-103 [104-113] s.	156	   2
[1-3] 4-88 s.	88	   2
[82] s.	82	   2
[152] s.	152	   2
[1] 2-26 s.	26	   2
67, [1] s.	68	   2
[1-3] 4-192 s.	192	   2
104 s.	104	   2
[2], 60 s.	62	   2
1/2 arkkia	2	   2
[16], [1] 2-200 s.	216	   2
[1-3] 4-47 [48] s.	48	   2
[1-3] 4-122 [123-128] s.	128	   2
[1-3] 4-66 s.	66	   2
[1-3] 4-428 [429-430] s.	430	   2
[1-3] 4-52 s.	52	   2
[1-7] 8-34 [35-40] s.	40	   2
[1-3] 4-102 [103-108] s.	108	   2
[1] 2-30 s.	30	   2
[1-2] 3-132 s.	132	   2
[4], [1] 2-111 [112] s.	227	   2
[4], [1] 2-124 s.	128	   2
[1-3] 4-131 [132] s.	132	   2
[16], 77, [19] s.	112	   2
[8], [1] 2-104 s.	112	   2
[1-2] 3-76 s.	76	   2
[1-3] 4-84 s.	84	   2
[1-3] 4-78 [79-80] s.	80	   2
[1-5] 6-336 s.	336	   2
[10] s. (s. [10] tyhjä)	10	   2
[A]-B2. [8] s.	8	   2
[8], 36 s.	44	   2
[2], 38 s.	40	   2
[1-2] 3-17 [18] s.	18	   2
[2] s., s. [27] 28-44	46	   2
[2], [1] 2-33 [34] s.	69	   2
[6], 15, [1] s.	22	   2
[6], [1] 2-36 [37-38] s.	45	   2
[4], 16, [2] s.	22	   2
[4], [1] 2-31 [32] s.	67	   2
[14], 53, [3] s.	70	   2
[8], [1] 2-36 [37-38] s.	47	   2
[8], 70, [2] s.	80	   2
[4], [1] 2-14 [15-16] s.	21	   2
[6], 40 s.	46	   2
[4], [1] 2-56 s.	60	   2
[4], [1] 2-23 [24] s.	51	   2
[4], [1] 2-32 [33-36] s.	41	   2
[1-5] 6-14 s.	14	   2
[6], 28 s.	34	   2
[6], 25, [1] s.	32	   2
[2] s., s. 81-88	10	   2
[2] s., s. 73-80	10	   2
[2] s., s. [17]-33, [1] s.	20	   2
55, [1] s.	56	   2
[2] s., s. 9-18	12	   2
[2] s., s. 89-96	10	   2
[2] s., s. 73-88	18	   2
[1-2] 3-13 [14] s.	14	   2
[8], [1] 2-40 s.	48	   2
[10], 62, [6] s.	78	   2
[6], 37, [3] s.	46	   2
[2], [1] 2-11 [12] s.	25	   2
[4], [1] 2-48 s.	52	   2
[6], 31, [1] s.	38	   2
[8], [1] 2-31 [32] s.	71	   2
[1-4] 5-16 s.	16	   2
[4], 7, [1] s.	12	   2
[1-5] 6-10 s.	10	   2
[6], [1] 2-13 [14] s.	33	   2
[1-4] 5-8 s.	8	   2
[6], [1] 2-8 s.	14	   2
[6], [1] 2-10 s.	16	   2
[8], 24, [2] s.	34	   2
[8], 21, [3] s.	32	   2
[8], [1] 2-32 s.	40	   2
[8], 26 s.	34	   2
[6], 27, [3] s.	36	   2
[2] s., s. 161-192	34	   2
[4] s., s. 129-160, [4] s.	40	   2
