original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
64,2 x 98,5 cm, lehti 67,5 x 100 cm.	NA	 64.2	 98.5	FALSE	NA	 64.2	 98.5	NA	 6323.70	    1
49,5 x 69,1 cm, lehti 51,2 x 70,5 cm.	NA	 49.5	 69.1	FALSE	NA	 49.5	 69.1	NA	 3420.45	    1
23,2 x 33,2 cm, lehti 28 x 37,5 cm.	NA	 23.2	 33.2	FALSE	NA	 23.2	 33.2	NA	  770.24	    1
23,4 x 33,4 cm, lehti 33 x 43,5 cm.	NA	 23.4	 33.4	FALSE	NA	 23.4	 33.4	NA	  781.56	    1
18 x 20 cm.	NA	 18.0	 20.0	FALSE	NA	 18.0	 20.0	NA	  360.00	    1
18 x 23 cm.	NA	 18.0	 23.0	FALSE	NA	 18.0	 23.0	NA	  414.00	    1
11 x 18 cm.	NA	 11.0	 18.0	FALSE	NA	 11.0	 18.0	NA	  198.00	    1
17 x 22 cm.	NA	 17.0	 22.0	FALSE	NA	 17.0	 22.0	NA	  374.00	    1
18 x 21 cm.	NA	 18.0	 21.0	FALSE	NA	 18.0	 21.0	NA	  378.00	    1
15 x 18 cm.	NA	 15.0	 18.0	FALSE	NA	 15.0	 18.0	NA	  270.00	    1
15 x 19 cm.	NA	 15.0	 19.0	FALSE	NA	 15.0	 19.0	NA	  285.00	    1
n. 136 x 158 cm, lehdet n. 34 x 52,5 cm.	NA	136.0	158.0	FALSE	NA	136.0	158.0	NA	21488.00	    1
44,4 x 49,4 cm, lehti 51 x 66,5 cm.	NA	 44.4	 49.4	FALSE	NA	 44.4	 49.4	NA	 2193.36	    1
55,2 x 50,5 cm, lehti 58,8 x 54,5 cm.	NA	 50.5	 55.2	FALSE	NA	 50.5	 55.2	NA	 2787.60	    1
71,5 x 52,5 cm, lehti 76 x 58 cm.	NA	 52.5	 71.5	FALSE	NA	 52.5	 71.5	NA	 3753.75	    1
44 x 44,2 cm, lehti 49,8 x 58,8 cm.	NA	 44.0	 44.2	FALSE	NA	 44.0	 44.2	NA	 1944.80	    1
72,5 x 70,5 cm, lehti 77 x 74 cm.	NA	 70.5	 72.5	FALSE	NA	 70.5	 72.5	NA	 5111.25	    1
52 x 41,7 cm, lehti 53,5 x 43 cm.	NA	 41.7	 52.0	FALSE	NA	 41.7	 52.0	NA	 2168.40	    1
28 x 36,5 cm, lehti 36,6 x 45,1 cm.	NA	 28.0	 36.5	FALSE	NA	 28.0	 36.5	NA	 1022.00	    1
40,7 x 29,7 cm, lehti 48,8 x 38,7 cm.	NA	 29.7	 40.7	FALSE	NA	 29.7	 40.7	NA	 1208.79	    1
2:o (oblong)	NA	NA	NA	 TRUE	NA	NA	NA	NA	NA	    1
4:o grand papier.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
48 x 44 cm.	NA	 44.0	 48.0	FALSE	NA	 44.0	 48.0	NA	 2112.00	    1
59 x 94 cm.	NA	 59.0	 94.0	FALSE	NA	 59.0	 94.0	NA	 5546.00	    1
