name;synonyme
Portland OR;Portland OR
Porvoo;Porvoo
Pozna_n;Pozna_n
Praze;Prague
primo Rostochii nunc recusum Stockholmiae;Stockholm
primo upsaliae per eschillum matthiae a nunc recusum stockholmiae;Stockholm
primo Upsaliae per Eschillum Matthiae a nunc recusum Stockholmiae;Stockholm
printÅbo;Turku
printe i Åbo;Turku
printe i Stockholm;Stockholm
printe i Upsala;Uppsala
printe i Vpsala;Uppsala
printe j Stockholm;Stockholm
printi Vpsala;Uppsala
printStockholm;Stockholm
printStrengnäs;Strängnäs
printUpsala;Uppsala
printVpsala;Uppsala
printWiborg;Viipuri
Prunkkala;Turku
Purleigh;Purleigh
Quedlinburg;Quedlinburg
Quincy MA;Quincy MA
Raahe;Raahe
rääkkylä;Rääkkylä
Rääkkylä;Rääkkylä
räisälä;Räisälä
Räisälä;Räisälä
raisio;Raisio
Raisio;Raisio
rantasalmi;Rantasalmi
Rantasalmi;Rantasalmi
Rauma;Rauma
rautalampi;Rautalampi
Rautalampi;Rautalampi
rautio;Rautio
Rautio;Rautio
ravenna;Ravenna
Ravenna;Ravenna
Räwelisä;Tallinn
recusa aboae;Turku
Recusa Aboae;Turku
Red Jacket Mich;Red Jacket MI
Red Jacket MI;Red Jacket MI
Red Lodge Mont;Red Lodge MT
Regensburg;Regensburg
Regenspurg;Regensburg
Regiomonti Borvssiae;Königsberg
reikjavik;Reykjavik
Reikjavik;Reykjavik
Revisa et recusa Aboae;Turku
Rewalisa;Tallinn
reykjavík;Reykjavik
reykjavik;Reykjavik
Reykjavi_k;Reykjavik
Reykjavik;Reykjavik
Rigae Livonum;Riga
riga mietau;Riga
Riga Mietau;Riga
rigasa;Riga
Riika;Riga
Rock Island IL;Rock Island IL
Rock Springs Wyo;Rock Springs WY
Rooma;Rome
Rostock;Rostock
Rotterdam;Rotterdam
Rovaniemi;Rovaniemi
sääksmäki;Sääksmäki
Sääksmäki;Sääksmäki
saarijärvi;Saarijärvi
Saarijärvi;Saarijärvi
saint pétersbourg;Saint Petersbourg
Saint Pe_tersbourg;Saint Petersburg
Sairala;Sairala
säkkijärvi;Säkkijärvi
Säkkijärvi;Säkkijärvi
sakkola;Sakkola
Sakkola;Sakkola
salmi;Salmi
Salmi;Salmi
Salo;Salo
samma öhr;NA
s a;NA
Sandstone Minn;Sandstone MI
sanktpeterburg';Saint Peterbourg
sankt peterburg;Saint Petersbourg
sankt peterburg';Saint Petersbourg
sankt' peterburg';Saint Petersbourg
sanktpeterburg'';Saint Petersbourg
Sarvlaks;Sarvilahti
sarvlaks;Sarvlaks
Satakunta;Pori
satakunta;Satakunta
Sauvo;Sauvo
Savonlinna;Savonlinna
savonlinnassa;Savonlinna
Savonlinnassa;Savonlinna
Scaris;Skara
Schwerin;Schwerin
Seattle WA;Seattle WA
Seinäjoki;Seinäjoki
Serdobol';Sortavala
Siena;Siena
simola;Simola
Simola;Simola
Sipoo;Sipoo
Skara;Skara
Smithville MN;Smithville MN
s;NA
socholm sic;Stockholm
Socholm sic;Stockholm
Sorau;_ary
Sortavala;Sortavala
sotckholm;Stockholm
Sotckholm !;Stockholm
s peterburg' a è vineke;Saint Petersbourg
S Peterburg' A E_ Vineke;Saint Petersburg
s peterburg' b gosudarstvennaâ tipografìâ;Saint Petersbourg
S Peterburg' B Gosudarstvennaa_ tipografi_a_;Saint Petersburg
s peterburg' m merkušev;Saint Petersbourg
S Peterburg' M Merkus_ev;Saint Petersburg
s peterburg;Saint Petersbourg
s peterburg'';Saint Petersbourg
s peterburg;Saint Petersburg
s peterburg';Saint Petersburg
s petersburg;Saint Petersbourg
ståkhålm;Stockholm
ståkkhålm;Stockholm
Stetini;Szczecin
Stettin;Szczecin
St Louis Kaunti Minn;St Louis Kaunti MI
st mikkeli;Mikkeli
st mikkelissä;Mikkeli
Stocholm sic;Stockholm
Stocholm !;Stockholm
Stockh ja Turus;Stockholm
stockhol isa;Stockholm
Stockholm Åbo;Stockholm
Stockholm aff Georg Hantsch Kongl booktr;Stockholm
Stockholmiae Sveonum;Stockholm
Stockholmisa ja Turvsa;Stockholm
Stockholm pö nytt;Stockholm
stockholm|Stockholm
stockholm:Stockholm
Stockholm;Stockholm
Stockholm Upsala Åbo;Stockholm
Stockholm Upsala und Åbo;Stockholm
Stockhomin sic;Stockholm
stockhomin;Stockholm
Stockohlm sic;Stockholm
stockohlm;Stockholm
Stockton;Stockton
stokgol'm';Stockholm
Stokgol'm';Stockholm
Stökhölm;Stockholm
Stokkholmisa sic;Stockholm
stokkholmisa;Stockholm
Stökkhölm;Stockholm
st petarborisa;Saint Petersbourg
St Petarborisa;Saint Petersburg
st peterborisa;Saint Petersbourg
St Peterborisa;Saint Petersburg
st peterborissa;Saint Petersbourg
St Peterborissa;Saint Petersburg
st peterbourg;Saint Petersbourg
st petersborg;Saint Petersbourg
st pétersbourg;Saint Petersbourg
st petersbourg;Saint Petersbourg
st petersbrg;Saint Petersbourg
st petersburgisa;Saint Petersbourg
St Petersburgisa;Saint Petersburg
st petersburg;Saint Peterbourg
s t petersburg;Saint Petersbourg
st pétersburg;Saint Petersbourg
st petterburg;Saint Petersbourg
st pietarborissa;Saint Petersbourg
st pietarissa;Saint Petersbourg
St Pietarissa;Saint Petersburg
Stralesundii;Stralsund
Stralsund;Stralsund
Strängnäs;Strängnäs
Strasbourg;Strasbourg
Strasburg;Strasbourg
Strengnensii;Strängnäs
Strengnesii;Strängnäs
stukkolmis;Stockholm
Stukkolmis;Stockholm
Stuttgart;Stuttgart
Sudbury Ontario;Sudbury ON
sundsvall;Sundsvall
Sundsvall;Sundsvall
Suobaci;Greifswald
Suobaci recusa;Greifswald
suomen niemen turusa;Turku
Suomen niemen Turusa;Turku
Suomussalmi;Suomussalmi
suonenjoki;Suonenjoki
Suonenjoki;Suonenjoki
Superior WI;Superior WI
Svartö;Mustio
synonyme;name
taipalsaari;Taipalsaari
Taipalsaari;Taipalsaari
Tallinna;Tallinn
tammela;Tammela
Tammela;Tammela
Tammisaari;Tammisaari
Tampere;Tampere
t'amsterdam;Amsterdam
tʼamsterdam;Amsterdam
t_Amsterdam;Amsterdam
t'Amsterdam;Amsterdam
Tartto;Tartu
tavastgus';Hämeenlinna
Tavastgus';Hämeenlinna
te_ Gryfisbaldi_a Greifswald;Greifswald
te haarlem;Haarlem
Terijoki;Terijoki
terni;Terni
Terni;Terni
tervonsalmi;Tervonsalmi
Tervonsalmi;Tervonsalmi
te utrecht;Utrecht
the corner house in ludgate street next s t pauls church london;London
the corner house in Ludgate street next S t Pauls Church London;London
The Hague;The Hague
the theater in oxford;Oxford
the Theater in Oxford;Oxford
T hus;Hämeenlinna
tikkurila;Tikkurila
Tikkurila;Vantaa
Tockholmisa ja Turusa;Stockholm
toholampi;Toholampi
Toholampi;Toholampi
Tomsk;Tomsk
Torgelow;Torgelow
Tornio;Tornio
trieste;Trieste
Trieste;Trieste
tromsö;Tromsö
Tromsö;Tromsö
tromsø;Tromsö
trondhjem;Trondheim
Trondhjem;Trondhjem
Trukketum Hernösandesne;Härnösand
Tsingshi;Tsingshi
Tu_bingen;Tu_bingen
Tukholma;Stockholm
tukhulmissa;Stockholm
Tukhulmissa;Stockholm
tulkittu sures fangiuxes olles mutta stocholmisa;Stockholm
Tulkittu sures fangiuxes olles mutta Stocholmisa;Stockholm
Turenki;Turenki
Turku ja Helsinki;Turku
Turku tai Viipuri;Turku
Turku;Turku
Turtle Lake Wis;Turtle Lake WI
turun kaupungisa;Turku
Turun kaupungisa;Turku
Turura sic;Turku
turura;Turku
Turura !;Turku
Turusa anomuxen jälkeen;Turku
turusa johan winterildä cuning da boktr dä suures ruhtinan maasa suomes;Turku
Turusa Johan Winterildä cuning da boktr dä suures ruhtinan maasa Suomes;Turku
turusa johan winterildä kuning da boktr dä suures ruhtinan maasa suomes;Turku
Turusa Johan Winterildä kuning da boktr dä suures ruhtinan maasa Suomes;Turku
Turusa pränd;Turku
Tuusula;Tuusula
tvrvsa;Turku
Tvrvsa;Turku
Tyrnaviae;Tyrnävä
tyrvää;Tyrvää
Tyrvää;Tyrvää
ubsaliae;Uppsala
Ubsaliae;Uppsala
Ugra;Ugra
Uppsala;Uppsala
