"","publisher","n"
"584","L. L. Grefing",3
"585","Lars Salviuxelda",3
"586","Lars Salviuxen tykönä",3
"587","Lars Wennberg",3
"588","Literis Wernerianis",3
"589","Lithographie´ chez M. de Helmersen",3
"590","Lorens Ludvig Grefing",3
"591","Lorentz Ludwig Grefing",3
"592","M. C. Iverseldä",3
"593","Matthias Syngman",3
"594","Matthias Syngmans änka",3
"595","Merckellianis",3
"596","Mich. Laurelio",3
"597","Michaele Laurelio",3
"598","P. J. Nyström",3
"599","P. Sohm",3
"600","Petar Hannuxen pojalda",3
"601","Peter Hanssons änka",3
"602","Petri Georg. Nyström",3
"603","Petrus Hansonius Acad. typogr",3
"604","Petrus Wald",3
"605","Petrus Wald, Acad: typog",3
"606","Pietari Hannun pojalda",3
"607","Reg. Acad. typogr. Johannes Kiämpe",3
"608","Stolpiska tryckeriet",3
"609","Tobiae Steinmanni",3
"610","Tryckt. Hos. Johan. Christopher. Frenckell",3
"611","Typis Frenckellianis",3
"612","Wallianis",3
"613","Wennbergildä ja yhteys-kumpanilda",3
"614","Willem J. Blaeu",3
"615","Zacharias Hagemann",3
"616","af And: Biörckman",3
"617","af Anund Olufsson",3
"618","af Iohan Winter, kongl. boktr",3
"619","af Johan Winter",3
"620","af Johan Winter, kongl. booktr",3
"621","af Johan Winter, kongl. booktryckiare",3
"622","af Petro Hansonio",3
"623","aff Ignatio Meurer, kongl. booktr",3
"624","aff Johan Winter, kongl. booktr. vthi stoorfurstendömet Finland",3
"625","aff Lars Wall",3
"626","aff Peder Hanson",3
"627","apud Imp. Acad. typ. J. C. Frenckell",3
"628","apud Joh. Edman, & Reg. Acad. typogr",3
"629","apud Johannem L. Wallium, A. t",3
